strategy,avg_total_time,avg_repeats_per_batch,avg_final_test_rmse,avg_final_test_mae,std_total_time,std_final_test_rmse,std_final_test_mae
baseline,30.161641279856365,1.0,0.5084718740587327,0.3953648274213928,0.14031660492501966,0.010220020151715867,0.005759833456074159
abr,39.97465332349142,1.1579775961247352,0.5276667110842126,0.4229750577589011,0.17329630568016588,0.023630869683954885,0.022355151740286877
learnable,40.59557374318441,1.0000605510142295,0.4991721314503222,0.3924031771944465,0.128986759607207,0.0020176339969929,0.006837489890920584
window,48.04499594370524,1.1432636996669696,0.4990087135674465,0.3966221829710254,0.12114169092190889,0.007226865532447535,0.00858917904960067
